Policy_ID,Customer_Age,Gender,Policy_Type,Annual_Income,Property_Age,Claim_History,Risk_Score,Premium_Amount,Claim_Amount,fraudulent_claim
POL100103,24,Female,Property,55956.26,15,1,High,562,26813.42,1
POL100104,26,Female,Property,48363.85,2,1,Low,466,0,0
POL100105,41,Male,Health,59363.8,1,1,Low,346,1500.27,0
POL100106,18,Male,Property,75559.33,2,3,High,550,29225.78,0
POL100107,61,Male,Auto,60000.36,6,0,Low,586,5178.54,0
POL100108,25,Female,Life,86385.32,14,2,Medium,464,9525.56,0
POL100109,41,Female,Auto,47590.58,15,2,Medium,596,12127.9,0
POL100110,28,Female,Health,49532.76,3,2,Medium,370,18280.77,0
POL100111,68,Female,Property,15000,12,1,High,650,34186.15,0
POL100112,34,Male,Property,46498.01,19,3,High,582,32235.77,0
POL100113,25,Female,Health,53676.22,3,1,Low,314,3149.03,0
POL100114,52,Female,Auto,49216.9,9,0,Low,568,6500.66,0
POL100115,52,Male,Auto,62031.47,14,1,High,668,32981.13,1
POL100116,50,Male,Auto,50567.99,1,0,Low,564,3488.34,0
POL100117,22,Female,Health,26258.7,11,0,High,408,28082.93,0
POL100118,59,Male,Health,49867.91,18,1,High,482,30200.77,0
POL100119,56,Female,Property,59363.94,12,0,High,626,28602.11,1
POL100120,58,Male,Property,38036.68,5,0,Low,530,1855.66,0
POL100121,45,Male,Auto,90806.95,0,3,High,654,32719.36,0
POL100122,24,Female,Auto,82366.06,4,1,Low,512,7714.22,0
POL100123,26,Female,Property,36692.65,19,1,High,566,29628.03,0
POL100124,25,Female,Auto,71018.7,1,1,Low,514,4039.19,0
POL100125,29,Female,Auto,80218.6,12,2,Medium,572,14849.9,0
POL100126,51,Female,Health,32614.56,16,3,High,466,27739.38,0
POL100127,50,Female,Auto,43408.47,12,0,High,664,34692.91,0
POL100128,65,Female,Life,88639.14,19,1,High,594,26711.97,1
POL100129,40,Female,Life,55612.83,15,1,High,544,31217.14,1
POL100130,41,Female,Property,36172.71,3,0,Low,496,5794.79,0
POL100131,54,Female,Life,51163.35,6,1,Low,472,7161.56,0
POL100132,52,Female,Life,59522.1,19,2,High,568,29040.67,0
POL100133,61,Female,Health,92843.02,15,2,Medium,436,10062.36,0
POL100134,57,Female,Auto,57493.49,7,1,Low,578,3990.32,1
POL100135,39,Male,Life,63032.97,4,5,High,542,33114.54,0
POL100136,44,Female,Auto,50290.04,1,0,Low,552,10972.26,0
POL100137,52,Male,Life,87786.64,5,2,Medium,518,11350.18,0
POL100138,18,Female,Life,77840.11,8,2,Medium,450,9514.07,0
POL100139,52,Female,Auto,23467.1,12,4,High,668,27222.13,0
POL100140,54,Female,Auto,76817.48,19,1,High,672,28832.17,0
POL100141,64,Male,Health,21064.35,10,1,High,492,28275.24,0
POL100142,31,Male,Auto,72638.87,16,5,High,626,29359.89,0
POL100143,20,Female,Life,69796.94,16,1,High,504,29206.51,0
POL100144,18,Female,Health,47576.03,12,0,High,400,31860.69,1
POL100145,22,Male,Auto,56668.34,1,4,High,608,28125.48,1
POL100146,43,Male,Health,45433.49,15,1,High,450,25110.72,1
POL100147,31,Male,Health,63882.55,1,2,Medium,376,18299.13,0
POL100148,56,Female,Property,32644.6,14,0,High,626,26631.78,1
POL100149,44,Female,Auto,86643.26,7,1,Low,552,4160.54,0
POL100150,26,Female,Property,73362.3,18,0,High,566,34417.18,0
POL100151,32,Female,Life,61371.62,3,1,Low,428,11555.42,0
POL100152,32,Female,Auto,97849.38,14,0,High,628,32911.24,0
POL100153,43,Male,Health,64153.69,10,1,High,450,26426.3,1
POL100154,59,Female,Health,58729.02,3,0,Low,382,5207.16,0
POL100155,30,Female,Auto,72567.75,15,1,High,624,35914.81,0
POL100156,68,Female,Auto,68804.27,3,3,High,700,29105.4,1
POL100157,49,Female,Auto,58396.22,2,2,Medium,612,15187.27,1
POL100158,56,Female,Auto,57231.15,12,2,Medium,626,16888.52,0
POL100159,66,Male,Life,54274.36,14,0,High,596,30290.52,0
POL100160,69,Male,Health,63741.01,8,1,Low,402,10525.33,0
POL100161,49,Female,Health,100041.85,0,0,Low,362,6430.93,0
POL100162,21,Male,Auto,42447.18,10,1,High,606,34965.43,0
POL100163,47,Male,Health,86289.88,1,3,High,458,32400.69,1
POL100164,54,Male,Auto,58558.8,0,2,Medium,622,9365.91,0
POL100165,40,Female,Health,40469.91,19,2,High,444,29280.87,1
POL100166,56,Male,Health,76292.12,6,0,Low,376,7413.78,0
POL100167,62,Male,Auto,41714.54,2,1,Low,588,8105.37,0
POL100168,32,Female,Auto,76000.04,5,1,Low,528,4695.9,0
POL100169,60,Female,Auto,38398.42,18,3,High,684,29391.64,0
POL100170,46,Male,Health,61433.99,13,3,High,456,35332.81,0
POL100171,53,Female,Auto,67549.54,0,0,Low,570,4910.49,0
POL100172,30,Male,Life,17880.85,14,1,High,524,27379.66,0
POL100173,49,Female,Life,97085.18,16,0,High,562,34098.16,0
POL100174,24,Female,Auto,75578.34,6,1,Low,512,7828.93,0
POL100175,68,Male,Health,83418.89,15,0,High,500,35325.37,0
POL100176,39,Female,Life,46730.53,15,2,Medium,492,12642.34,0
POL100177,45,Male,Auto,76179.46,12,0,High,654,31278.03,0
POL100178,19,Female,Property,80539.75,6,0,Low,452,8006.58,0
POL100179,59,Female,Health,61751.86,3,0,Low,382,0,0
POL100180,62,Male,Auto,100655.95,4,1,Low,588,2772.92,0
POL100181,23,Male,Health,26847.07,9,0,Low,310,6900.1,1
POL100182,45,Female,Auto,72902.91,10,2,Medium,604,10985.9,0
POL100183,45,Female,Property,39856.17,18,1,High,604,36789.86,1
POL100184,61,Female,Property,67179.18,12,0,High,636,25193.32,0
POL100185,61,Male,Health,30877.29,5,1,Low,386,8047.75,0
POL100186,37,Male,Auto,63749.52,0,1,Low,538,6941.19,0
POL100187,47,Female,Auto,43515.63,2,2,Medium,608,8714.9,1
POL100188,28,Male,Life,48769.05,19,1,High,520,25111.35,0
POL100189,45,Male,Life,85795.01,7,1,Low,454,3060.5,0
POL100190,42,Female,Health,43221.73,17,0,High,448,28335.78,0
POL100191,56,Male,Health,83719.47,10,0,High,476,31784.56,1
POL100192,50,Female,Health,85089.75,14,0,High,464,27191.62,0
POL100193,18,Female,Health,83770.19,19,1,High,400,30211.35,0
POL100194,44,Male,Auto,84488.81,10,0,High,652,33544.35,1
POL100195,69,Female,Life,80801.84,13,1,High,602,30164.86,0
POL100196,30,Male,Health,65672.62,4,0,Low,324,8031.57,0
POL100197,58,Female,Auto,48842.48,16,1,High,680,27924.5,1
POL100198,20,Female,Auto,59806.01,17,1,High,604,27779.76,0
POL100199,56,Female,Life,69095.6,12,1,High,576,29502.44,0
POL100200,23,Male,Life,51790.67,6,1,Low,410,0,0
POL100201,25,Female,Property,25730.74,4,2,Medium,514,16815.78,0
POL100202,44,Female,Health,66472.76,7,1,Low,352,415.62,0
POL100203,26,Male,Auto,77871,2,3,High,616,26232.29,0
POL100204,54,Female,Auto,38696.04,2,1,Low,572,314.5,0
POL100205,50,Male,Auto,59543.98,1,2,Medium,614,15204.57,0
POL100206,68,Male,Life,44249.97,0,2,Medium,550,13982.69,1
POL100207,59,Female,Auto,97124.16,5,2,Medium,632,12646.9,0
POL100208,61,Female,Auto,42888.04,16,1,High,686,27236.69,0
POL100209,41,Male,Property,25900.01,19,0,High,596,32797.49,0
POL100210,32,Male,Property,47026.64,0,3,High,578,37459.33,0
POL100211,49,Female,Life,67304.89,9,0,Low,462,1263.98,0
POL100212,49,Male,Auto,66264.7,0,3,High,662,26306.1,0
POL100213,41,Female,Health,69777.29,7,1,Low,346,118.71,0
POL100214,58,Female,Property,95079.61,18,0,High,630,28526.88,0
POL100215,69,Female,Life,52428.34,7,0,Low,502,5139.65,0
POL100216,66,Male,Health,81796.22,13,0,High,496,26714.61,1
POL100217,66,Female,Auto,62507.52,0,0,Low,596,92.19,0
POL100218,69,Male,Health,74711.88,12,2,Medium,452,19277.03,1
POL100219,29,Female,Life,55420.57,11,1,High,522,32181.54,1
POL100220,56,Male,Life,46064.16,10,1,High,576,29395.49,0
POL100221,19,Male,Auto,24652.43,19,2,High,602,29741.06,1
POL100222,20,Male,Auto,72587.58,9,0,Low,504,3213.08,0
POL100223,66,Female,Auto,82390.53,7,1,Low,596,7491.23,0
POL100224,54,Female,Property,41310.85,8,1,Low,522,1850.29,0
POL100225,66,Male,Auto,30052.01,4,1,Low,596,4909.77,0
POL100226,34,Female,Auto,113292.38,10,0,High,632,27399.15,0
POL100227,66,Male,Health,42222.12,1,1,Low,396,6473.35,0
POL100228,19,Female,Property,91093.05,19,3,High,552,30576.86,0
POL100229,19,Male,Health,47157.4,11,0,High,402,32289.99,1
POL100230,45,Female,Health,55232.75,14,2,Medium,404,15409.37,1
POL100231,40,Female,Life,50051.91,9,2,Medium,494,18011.08,0
POL100232,54,Female,Health,58422.27,7,0,Low,372,6948.89,0
POL100233,49,Female,Property,35373.86,7,3,High,612,33610.19,1
POL100234,50,Male,Auto,46670.66,16,0,High,664,31445.02,1
POL100235,18,Male,Health,40157.4,6,2,Medium,350,12589.83,1
POL100236,36,Male,Health,22966.55,3,2,Medium,386,12589.02,0
POL100237,19,Male,Property,47092.88,1,2,Medium,502,16913.49,0
POL100238,61,Male,Auto,84651.85,2,0,Low,586,6678.98,0
POL100239,43,Female,Auto,71258.18,15,0,High,650,33543.74,0
POL100240,49,Female,Life,44947.69,0,1,Low,462,7362.95,0
POL100241,23,Female,Auto,74127.46,3,1,Low,510,7307.48,0
POL100242,49,Male,Health,58692.17,3,3,High,462,30973.34,0
POL100243,21,Female,Life,49961.49,2,0,Low,406,4186.24,0
POL100244,28,Male,Auto,90889.36,5,2,Medium,570,13774.65,0
POL100245,34,Female,Property,34744.53,6,1,Low,482,10661.22,0
POL100246,55,Female,Health,76978.33,5,0,Low,374,3170.83,0
POL100247,41,Male,Health,45199.36,12,1,High,446,28591.6,0
POL100248,22,Male,Auto,52517.42,19,2,High,608,31720.47,0
POL100249,69,Male,Health,95966.95,11,0,High,502,31933.32,1
POL100250,51,Female,Life,58626.94,7,2,Medium,516,14675.39,0
POL100251,23,Male,Auto,56570.07,13,3,High,610,27279.05,1
POL100252,39,Female,Property,51458.47,1,1,Low,492,4340.65,0
POL100253,28,Female,Property,84078.44,17,1,High,570,29205.26,1
POL100254,65,Female,Auto,76028.03,9,1,Low,594,3988.84,0
POL100255,33,Female,Auto,81328.51,6,1,Low,530,4195.39,0
POL100256,50,Female,Property,86324.01,16,2,High,614,30566.1,0
POL100257,26,Female,Auto,79202.63,1,1,Low,516,2354.19,0
POL100258,23,Male,Health,72553.41,14,0,High,410,28366,0
POL100259,33,Female,Life,87666.39,14,1,High,530,31374.67,1
POL100260,46,Female,Property,68094.37,6,1,Low,506,2209.95,0
POL100261,20,Female,Auto,67871.96,14,0,High,604,26722.56,1
POL100262,37,Female,Health,59247.93,11,2,Medium,388,8818.72,1
POL100263,53,Female,Auto,62298.86,18,0,High,670,26979.44,0
POL100264,36,Female,Health,43763.98,1,3,High,436,26230.21,0
POL100265,43,Male,Property,35559.36,16,1,High,600,28578.64,1
POL100266,20,Male,Property,65197.31,5,3,High,554,29163.56,1
POL100267,36,Male,Life,51824.01,8,2,Medium,486,17854.69,0
POL100268,37,Male,Property,41775.88,13,1,High,588,27457.28,0
POL100269,49,Male,Health,23471.3,10,0,High,462,32461.4,0
POL100270,24,Female,Auto,38209.34,16,2,High,612,32526.21,1
POL100271,69,Female,Auto,30995.34,3,1,Low,602,8336.02,0
POL100272,58,Female,Property,38543.46,8,1,Low,530,5856.61,0
POL100273,50,Male,Health,52170.11,8,2,Medium,414,7906.26,0
POL100274,57,Male,Health,81002.83,10,2,Medium,428,13685.13,0
POL100275,56,Male,Life,64064.71,12,1,High,576,35739.38,1
POL100276,35,Male,Auto,76256.54,4,1,Low,534,13275.44,0
POL100277,57,Male,Health,61728.81,7,1,Low,378,4730.5,0
POL100278,18,Female,Health,48534.83,13,1,High,400,27310.32,0
POL100279,28,Male,Auto,56799.57,3,1,Low,520,3246.87,0
POL100280,45,Male,Life,78068.24,13,0,High,554,21159.09,1
POL100281,42,Female,Health,45670.72,19,0,High,448,30214.22,0
POL100282,67,Male,Life,56554.62,6,2,Medium,548,16351.13,0
POL100283,40,Female,Life,78828.08,7,1,Low,444,2506.96,0
POL100284,48,Male,Auto,81197.12,14,0,High,660,29940.31,0
POL100285,47,Male,Health,87922.01,7,3,High,458,29660.99,1
POL100286,59,Male,Property,27988.23,6,1,Low,532,1476.65,0
POL100287,52,Male,Auto,47717.62,13,0,High,668,23357.74,1
POL100288,24,Male,Property,63310.28,10,2,Medium,512,14261.58,0
POL100289,33,Male,Auto,54645.54,12,0,High,630,26758.7,0
POL100290,43,Male,Auto,22707.31,18,1,High,650,29408.55,0
POL100291,65,Female,Auto,60593.23,13,4,High,694,32865.43,0
POL100292,69,Male,Auto,69700.93,13,0,High,702,30634.88,1
POL100293,66,Male,Life,59571.2,19,1,High,596,31342.36,0
POL100294,19,Female,Auto,79797.98,12,0,High,602,31664.25,0
POL100295,18,Female,Auto,48260.4,16,1,High,600,31405.34,1
POL100296,65,Male,Health,80388.58,11,1,High,494,27609.11,1
POL100297,29,Male,Auto,57160.11,15,2,Medium,572,16877.61,0
POL100298,22,Male,Health,31789.51,6,3,High,408,30868.88,0
POL100299,54,Male,Property,33715.88,17,2,High,622,25386.17,1
POL100300,49,Female,Health,43490.61,9,2,Medium,412,15164.23,0
POL100301,26,Female,Health,67531.07,5,0,Low,316,0,0
POL100302,58,Female,Health,52264.26,19,3,High,480,28699.8,0
POL100303,52,Male,Health,78494.74,10,0,High,468,34900.34,0
POL100304,36,Female,Health,42361.15,14,0,High,436,33360.51,1
POL100305,65,Female,Health,52128.08,14,1,High,494,27551,0
POL100306,33,Male,Property,79584.99,14,1,High,580,33815.25,0
POL100307,20,Male,Life,44892.06,19,1,High,504,27326.5,0
POL100308,37,Female,Health,94348.81,3,2,Medium,388,15036.79,0
POL100309,41,Female,Life,49709.94,10,1,High,546,22884.28,0
POL100310,50,Female,Life,70551.12,6,1,Low,464,6253.33,0
POL100311,41,Female,Auto,52970.72,13,1,High,646,29082.52,0
POL100312,69,Male,Auto,78057.2,19,0,High,702,33158.32,1
POL100313,28,Male,Property,53588.68,13,2,Medium,520,17780.41,1
POL100314,66,Male,Auto,75084.34,14,2,Medium,646,18669.5,0
POL100315,25,Male,Property,53578.71,11,1,High,564,33189.58,0
POL100316,53,Male,Health,68518.23,14,3,High,470,27462.07,0
POL100317,55,Male,Health,72779.74,15,2,Medium,424,14050.16,0
POL100318,57,Female,Auto,60792.66,17,1,High,678,33013.84,1
POL100319,37,Male,Auto,65599.78,16,1,High,638,30416.31,0
POL100320,52,Female,Auto,75939.79,14,3,High,668,32156.44,1
POL100321,65,Male,Life,94380.36,19,0,High,594,32250.65,1
POL100322,42,Male,Auto,88786.11,19,0,High,648,25066.71,0
POL100323,52,Male,Health,63943.65,19,2,High,468,26843.07,0
POL100324,42,Male,Health,59502.05,8,2,Medium,398,15614.52,0
POL100325,46,Female,Health,54969.08,10,1,High,456,29556.62,1
POL100326,35,Female,Health,103588.32,1,0,Low,334,5405.73,0
POL100327,63,Female,Auto,57399.74,5,2,Medium,640,17931.16,0
POL100328,35,Male,Property,58107.78,14,0,High,584,32967.38,1
POL100329,19,Female,Auto,81662.41,18,3,High,602,29660.34,0
POL100330,52,Male,Health,58603.81,10,2,Medium,418,18324.9,0
POL100331,33,Female,Auto,69408.09,7,1,Low,530,5365.49,0
POL100332,58,Male,Property,41632.94,9,2,Medium,580,16146.78,0
POL100333,53,Male,Health,34410.06,12,1,High,470,34671.75,0
POL100334,50,Female,Life,53420.9,7,0,Low,464,5628.19,0
POL100335,21,Female,Life,62461.44,5,1,Low,406,7132.11,0
POL100336,50,Female,Property,55951.57,3,0,Low,514,4444.83,0
POL100337,31,Male,Auto,32546.21,6,1,Low,526,4511.44,0
POL100338,38,Male,Auto,102319.93,0,1,Low,540,8137.8,0
POL100339,65,Female,Property,88081.84,4,0,Low,544,2167.42,0
POL100340,37,Male,Health,87079.64,9,1,Low,338,6442.25,0
POL100341,25,Male,Life,49817.86,17,1,High,514,26681.62,0
POL100342,24,Male,Life,64373.91,17,1,High,512,29734.76,0
POL100343,20,Male,Health,71750.96,2,2,Medium,354,14756.54,0
POL100344,34,Male,Life,70166.33,13,2,Medium,482,10607.27,0
POL100345,50,Female,Life,45807.65,18,4,High,564,28515.12,1
POL100346,65,Female,Health,51785.56,19,1,High,494,28593.24,1
POL100347,29,Male,Property,32281.26,17,0,High,572,34769.87,0
POL100348,68,Female,Life,66250.47,7,0,Low,500,378.47,0
POL100349,39,Female,Property,37527.78,7,1,Low,492,7341.79,0
POL100350,39,Female,Life,15000,14,1,High,542,27667.27,1
POL100351,63,Female,Auto,58225.27,3,0,Low,590,864.25,0
POL100352,47,Female,Life,72160.87,14,2,Medium,508,15037.24,1
POL100353,55,Male,Property,87265.7,6,1,Low,524,1930.01,0
POL100354,55,Female,Auto,69288.9,13,2,Medium,624,15634.57,0
POL100355,62,Female,Auto,83983.1,0,1,Low,588,8131.19,0
POL100356,68,Male,Health,55151.03,5,1,Low,400,4171.87,0
POL100357,25,Female,Auto,68221.54,3,1,Low,514,6023.17,0
POL100358,44,Female,Auto,67642.28,1,1,Low,552,1243.16,0
POL100359,44,Male,Auto,73641.45,4,1,Low,552,2708.93,1
POL100360,51,Female,Health,46031.06,9,1,Low,366,4272.17,0
POL100361,38,Male,Life,58898.5,15,1,High,540,32677.85,0
POL100362,47,Male,Health,62584.5,4,1,Low,358,7549.41,0
POL100363,50,Female,Health,61675.14,5,2,Medium,414,9228.77,0
POL100364,45,Male,Health,48258.54,2,1,Low,354,7346.82,0
POL100365,64,Female,Health,55134.59,9,1,Low,392,3716.94,0
POL100366,50,Female,Auto,64298.32,0,1,Low,564,946.52,1
POL100367,22,Male,Auto,55066.64,12,2,Medium,558,10751.61,1
POL100368,65,Male,Auto,62321.21,5,1,Low,594,4370.86,0
POL100369,36,Female,Life,52633.03,19,1,High,536,26985.02,0
POL100370,21,Male,Life,57415.56,12,0,High,506,29394.11,0
POL100371,52,Female,Life,58001.09,13,0,High,568,24326.28,0
POL100372,66,Male,Auto,50271.91,0,1,Low,596,9469.89,0
POL100373,34,Female,Health,88179.76,0,0,Low,332,3410.61,0
POL100374,61,Female,Property,72037.7,8,1,Low,536,5682.85,0
POL100375,45,Male,Property,38461.16,2,0,Low,504,6444.67,0
POL100376,47,Female,Health,87268.63,3,2,Medium,408,11982.05,0
POL100377,46,Female,Auto,49818.33,2,2,Medium,606,15645.5,0
POL100378,63,Female,Health,96940.72,17,3,High,490,27737.55,0
POL100379,23,Male,Auto,84125.41,3,3,High,610,28536.24,0
POL100380,52,Male,Auto,58589.43,17,0,High,668,23485.61,0
POL100381,58,Male,Health,53554.45,19,2,High,480,29109.77,0
POL100382,54,Female,Property,61570.72,14,2,Medium,572,21188.98,0
POL100383,41,Female,Property,66562.66,4,0,Low,496,6810.76,0
POL100384,46,Female,Life,47168.52,11,0,High,556,27858.38,0
POL100385,66,Male,Life,50416.3,15,0,High,596,30293.44,1
POL100386,63,Male,Auto,35841.62,6,0,Low,590,3927.49,0
POL100387,48,Female,Auto,81887.45,12,3,High,660,32780.57,1
POL100388,52,Male,Auto,63784.53,0,1,Low,568,4418.88,0
POL100389,50,Female,Life,47154.43,17,1,High,564,26902.79,0
POL100390,69,Female,Auto,32792.13,3,0,Low,602,10923.45,0
POL100391,38,Female,Health,33441.07,3,0,Low,340,13639.65,0
POL100392,49,Male,Property,48294.85,5,1,Low,512,5244.13,0
POL100393,40,Male,Health,42241.37,10,0,High,444,29289.53,0
POL100394,50,Female,Life,83849.51,3,2,Medium,514,8999.28,1
POL100395,20,Female,Life,58674.23,11,1,High,504,30694.91,0
POL100396,35,Male,Life,84706.49,3,0,Low,434,3934.71,0
POL100397,42,Male,Life,55919.27,2,1,Low,448,6475.56,0
POL100398,59,Male,Health,56024.41,8,1,Low,382,6337.71,0
POL100399,48,Female,Auto,95716.21,17,1,High,660,34560.51,0
POL100400,20,Male,Auto,71547.96,15,3,High,604,29383.27,1
POL100401,57,Female,Property,57443.88,3,0,Low,528,8324.39,0
POL100402,63,Male,Property,57044.01,6,2,Medium,590,15962.33,0
POL100403,41,Male,Property,82896.53,13,2,Medium,546,15962.77,0
POL100404,67,Female,Health,107417.41,0,1,Low,398,1347.47,0
POL100405,49,Female,Health,45096.81,7,1,Low,362,4393.79,0
POL100406,64,Male,Health,41067.8,6,1,Low,392,5449.48,0
POL100407,39,Male,Auto,58048.89,2,1,Low,542,7108.4,0
