Claim_ID,Claim_Date,Policyholder_ID,Claim_Amount,Claim_Type,Suspicious_Flags,Fraud_Label
C00134,26-07-2023,P00134,10495.6,Medical,FALSE,0
C00135,15-01-2023,P00135,9861.89,Medical,FALSE,0
C00136,12-12-2023,P00136,8786.53,Medical,FALSE,0
C00137,11-02-2023,P00137,17571.6,Vehicle,FALSE,0
C00138,28-06-2023,P00138,6461.8,Medical,FALSE,0
C00139,04-03-2023,P00139,5562.56,Medical,FALSE,0
C00140,18-12-2023,P00140,11003.88,Vehicle,FALSE,0
C00141,19-08-2023,P00141,16744.15,Home Damage,FALSE,0
C00142,29-08-2023,P00142,15165.13,Home Damage,FALSE,0
C00143,21-02-2023,P00143,28758,Home Damage,FALSE,0
C00144,06-04-2023,P00144,5441.59,Medical,FALSE,0
C00145,10-08-2023,P00145,15290.15,Vehicle,TRUE,1
C00146,19-08-2023,P00146,9122.16,Medical,FALSE,0
C00147,25-08-2023,P00147,16787.41,Vehicle,FALSE,0
C00148,23-05-2023,P00148,19631.05,Home Damage,TRUE,1
C00149,20-06-2023,P00149,12140.17,Vehicle,FALSE,0
C00150,29-01-2023,P00150,12291.87,Vehicle,FALSE,0
C00151,05-02-2023,P00151,16242.51,Home Damage,FALSE,0
C00152,13-01-2023,P00152,7786.2,Vehicle,TRUE,0
C00153,09-06-2023,P00153,6058.59,Medical,FALSE,0
C00154,23-11-2023,P00154,14159.74,Vehicle,FALSE,0
C00155,06-07-2023,P00155,7048.61,Medical,FALSE,0
C00156,31-08-2023,P00156,8520.03,Medical,FALSE,0
C00157,27-03-2023,P00157,6568.4,Vehicle,FALSE,1
C00158,11-10-2023,P00158,10660.79,Vehicle,FALSE,0
C00159,07-03-2023,P00159,6330.37,Medical,FALSE,0
C00160,19-06-2023,P00160,13385.46,Vehicle,FALSE,0
C00161,14-02-2023,P00161,13909.22,Vehicle,FALSE,0
C00162,03-03-2023,P00162,18134.26,Home Damage,FALSE,0
C00163,14-05-2023,P00163,7976.48,Vehicle,FALSE,0
C00164,11-10-2023,P00164,5645.37,Medical,FALSE,0
C00165,28-01-2023,P00165,9896.9,Medical,FALSE,0
C00166,18-04-2023,P00166,15550.96,Home Damage,FALSE,0
C00167,13-02-2023,P00167,7899.71,Medical,FALSE,0
C00168,06-12-2023,P00168,17659.71,Home Damage,FALSE,0
C00169,13-10-2023,P00169,10255,Vehicle,FALSE,0
C00170,27-11-2023,P00170,2758.13,Vehicle,FALSE,0
C00171,08-05-2023,P00171,15790.42,Vehicle,FALSE,0
C00172,14-12-2023,P00172,9259.5,Medical,FALSE,0
C00173,19-08-2023,P00173,11674.76,Vehicle,TRUE,0
C00174,09-07-2023,P00174,8557.65,Vehicle,FALSE,0
C00175,13-08-2023,P00175,10073.4,Vehicle,FALSE,0
C00176,10-10-2023,P00176,6341.47,Medical,FALSE,0
C00177,01-05-2023,P00177,8722.3,Vehicle,FALSE,0
C00178,26-04-2023,P00178,5488.07,Medical,FALSE,0
C00179,21-08-2023,P00179,14029.57,Vehicle,FALSE,0
C00180,16-09-2023,P00180,2275.09,Medical,FALSE,0
C00181,25-12-2023,P00181,9137.36,Medical,FALSE,0
C00182,17-07-2023,P00182,11095.15,Home Damage,FALSE,0
C00183,17-05-2023,P00183,15224.45,Vehicle,FALSE,0
C00184,14-11-2023,P00184,16050.2,Home Damage,FALSE,0
C00185,14-06-2023,P00185,21931.54,Home Damage,FALSE,0
C00186,13-08-2023,P00186,13733.6,Vehicle,FALSE,0
C00187,03-11-2023,P00187,11314.19,Vehicle,FALSE,0
C00188,22-08-2023,P00188,16047.95,Vehicle,FALSE,0
C00189,21-06-2023,P00189,9843.22,Vehicle,TRUE,1
C00190,01-06-2023,P00190,11918.24,Vehicle,FALSE,0
C00191,11-11-2023,P00191,8776.29,Vehicle,FALSE,0
C00192,09-06-2023,P00192,13821.33,Vehicle,TRUE,1
C00193,06-04-2023,P00193,13099.54,Home Damage,TRUE,1
C00194,21-08-2023,P00194,14447.59,Vehicle,FALSE,0
C00195,29-06-2023,P00195,13575.25,Vehicle,TRUE,1
C00196,23-04-2023,P00196,11837.1,Vehicle,TRUE,1
C00197,14-11-2023,P00197,12532.52,Vehicle,FALSE,0
C00198,21-02-2023,P00198,9060.67,Medical,FALSE,0
C00199,25-09-2023,P00199,15862.82,Home Damage,FALSE,0
C00200,22-10-2023,P00200,12779,Vehicle,FALSE,0
C00201,23-04-2023,P00201,12801.29,Vehicle,FALSE,0
C00202,11-04-2023,P00202,10214.12,Medical,FALSE,0
C00203,23-04-2023,P00203,12309.38,Vehicle,FALSE,0
C00204,22-03-2023,P00204,12710.27,Vehicle,FALSE,0
C00205,06-07-2023,P00205,25682.8,Home Damage,FALSE,0
C00206,23-04-2023,P00206,15542.48,Home Damage,TRUE,0
C00207,02-01-2023,P00207,7148.23,Vehicle,FALSE,0
C00208,10-05-2023,P00208,9694.11,Medical,TRUE,1
C00209,08-08-2023,P00209,7207.6,Vehicle,FALSE,0
C00210,23-02-2023,P00210,4817,Medical,FALSE,0
C00211,09-12-2023,P00211,9364,Vehicle,FALSE,0
C00212,12-08-2023,P00212,14373.13,Vehicle,FALSE,0
C00213,13-08-2023,P00213,10983.37,Vehicle,FALSE,0
C00214,06-05-2023,P00214,12527.87,Vehicle,FALSE,0
C00215,10-05-2023,P00215,8395.34,Vehicle,TRUE,0
C00216,22-02-2023,P00216,8595.87,Medical,TRUE,0
C00217,21-06-2023,P00217,6731.82,Medical,FALSE,0
C00218,06-08-2023,P00218,14268.49,Vehicle,FALSE,0
C00219,09-06-2023,P00219,11287.48,Vehicle,FALSE,0
C00220,17-07-2023,P00220,14191.7,Vehicle,FALSE,0
C00221,04-09-2023,P00221,25465.38,Home Damage,FALSE,0
C00222,20-11-2023,P00222,10805.68,Vehicle,TRUE,1
C00223,22-07-2023,P00223,6952.66,Medical,FALSE,0
C00224,03-07-2023,P00224,10949.8,Medical,FALSE,0
C00225,03-05-2023,P00225,12655.75,Vehicle,FALSE,0
C00226,12-09-2023,P00226,18791.21,Home Damage,FALSE,1
C00227,21-10-2023,P00227,4060.13,Vehicle,FALSE,0
C00228,07-10-2023,P00228,7539.06,Medical,FALSE,0
C00229,21-11-2023,P00229,13914.04,Vehicle,FALSE,0
C00230,08-04-2023,P00230,10668.75,Medical,FALSE,0
C00231,17-07-2023,P00231,8635.4,Vehicle,FALSE,0
C00232,28-08-2023,P00232,8131.65,Medical,FALSE,0
C00233,24-05-2023,P00233,7783.16,Medical,FALSE,0
C00234,07-04-2023,P00234,23165.54,Home Damage,FALSE,0
C00235,20-07-2023,P00235,15020.75,Vehicle,FALSE,0
C00236,04-05-2023,P00236,10584.26,Medical,FALSE,0
C00237,06-07-2023,P00237,9016.86,Vehicle,FALSE,0
C00238,22-11-2023,P00238,9662.28,Vehicle,FALSE,0
C00239,15-12-2023,P00239,9948.87,Vehicle,FALSE,0
C00240,16-09-2023,P00240,12592.26,Home Damage,FALSE,0
C00241,28-05-2023,P00241,11576.9,Vehicle,FALSE,0
C00242,09-09-2023,P00242,14120.64,Vehicle,FALSE,0
C00243,12-12-2023,P00243,11247.65,Vehicle,FALSE,0
C00244,27-05-2023,P00244,4821.7,Medical,TRUE,1
C00245,28-05-2023,P00245,8881.69,Vehicle,FALSE,0
C00246,18-12-2023,P00246,8542.82,Vehicle,FALSE,0
C00247,18-07-2023,P00247,9621.37,Vehicle,TRUE,1
C00248,04-11-2023,P00248,11689.79,Vehicle,TRUE,1
C00249,08-05-2023,P00249,12368.45,Vehicle,FALSE,0
C00250,08-02-2023,P00250,15356.96,Vehicle,FALSE,0
C00251,04-12-2023,P00251,11792.92,Vehicle,FALSE,0
C00252,26-12-2023,P00252,9949.72,Vehicle,FALSE,0
C00253,09-05-2023,P00253,17738.11,Vehicle,TRUE,1
C00254,24-09-2023,P00254,12489.19,Vehicle,FALSE,0
C00255,31-05-2023,P00255,21432.7,Home Damage,FALSE,0
C00256,25-10-2023,P00256,7835.59,Vehicle,FALSE,0
C00257,09-04-2023,P00257,4575.2,Vehicle,FALSE,0
C00258,20-09-2023,P00258,3949.14,Medical,FALSE,0
C00259,09-09-2023,P00259,10641.12,Vehicle,FALSE,1
C00260,24-05-2023,P00260,6715.28,Vehicle,FALSE,0
C00261,12-12-2023,P00261,20009.85,Home Damage,FALSE,0
C00262,22-04-2023,P00262,13825.66,Vehicle,FALSE,0
C00263,01-03-2023,P00263,21255.33,Home Damage,FALSE,0
C00264,02-01-2023,P00264,13674.51,Vehicle,FALSE,0
C00265,31-10-2023,P00265,11802.99,Vehicle,FALSE,1
C00266,11-09-2023,P00266,12563.84,Home Damage,TRUE,1
C00267,20-05-2023,P00267,6058.19,Medical,FALSE,0
C00268,06-02-2023,P00268,7823.19,Medical,TRUE,1
C00269,09-06-2023,P00269,16905.25,Home Damage,FALSE,0
C00270,09-01-2023,P00270,8304.51,Vehicle,FALSE,0
C00271,21-08-2023,P00271,13093.44,Vehicle,FALSE,0
C00272,09-04-2023,P00272,13948.05,Vehicle,FALSE,0
C00273,27-05-2023,P00273,13606.34,Vehicle,FALSE,0
C00274,31-10-2023,P00274,11540.92,Vehicle,FALSE,0
C00275,27-07-2023,P00275,15577.7,Vehicle,FALSE,0
C00276,11-05-2023,P00276,6483.74,Medical,FALSE,0
C00277,01-06-2023,P00277,9691.36,Vehicle,FALSE,0
C00278,23-02-2023,P00278,8890.42,Vehicle,FALSE,0
C00279,30-04-2023,P00279,14327.15,Vehicle,FALSE,0
C00280,10-06-2023,P00280,5364.65,Vehicle,FALSE,0
C00281,26-04-2023,P00281,9355.69,Home Damage,FALSE,0
C00282,16-03-2023,P00282,8972.53,Medical,FALSE,0
C00283,23-04-2023,P00283,15806.46,Vehicle,TRUE,1
C00284,14-04-2023,P00284,13419.3,Vehicle,FALSE,0
C00285,06-12-2023,P00285,7126.05,Medical,FALSE,0
C00286,11-09-2023,P00286,8829.83,Medical,FALSE,0
C00287,15-08-2023,P00287,15967.44,Home Damage,FALSE,0
C00288,22-04-2023,P00288,11352.88,Medical,FALSE,0
C00289,09-04-2023,P00289,12519.13,Vehicle,FALSE,0
C00290,02-06-2023,P00290,21006,Home Damage,FALSE,0
C00291,15-12-2023,P00291,8212.72,Vehicle,TRUE,1
C00292,04-12-2023,P00292,16148.6,Vehicle,FALSE,0
C00293,13-07-2023,P00293,5107.78,Medical,FALSE,0
C00294,06-11-2023,P00294,17672.47,Vehicle,FALSE,0
C00295,12-06-2023,P00295,12124.21,Vehicle,FALSE,0
C00296,27-07-2023,P00296,13243.46,Vehicle,FALSE,0
C00297,18-06-2023,P00297,21148.9,Home Damage,FALSE,0
C00298,10-06-2023,P00298,11755.12,Vehicle,FALSE,0
C00299,09-03-2023,P00299,10522.85,Vehicle,FALSE,0
C00300,16-10-2023,P00300,9039.61,Vehicle,FALSE,0
C00301,04-10-2023,P00301,13348.63,Vehicle,FALSE,0
C00302,31-10-2023,P00302,13691.95,Vehicle,FALSE,0
C00303,15-05-2023,P00303,11189.41,Vehicle,FALSE,0
C00304,14-07-2023,P00304,10026.27,Vehicle,FALSE,0
C00305,08-05-2023,P00305,7727.13,Medical,FALSE,0
C00306,02-02-2023,P00306,19079.02,Home Damage,FALSE,0
C00307,25-06-2023,P00307,8763.41,Vehicle,FALSE,0
C00308,22-01-2023,P00308,10858.59,Vehicle,FALSE,0
C00309,26-08-2023,P00309,13630.27,Vehicle,FALSE,0
C00310,07-06-2023,P00310,14519.3,Vehicle,FALSE,0
C00311,07-02-2023,P00311,15406.34,Vehicle,FALSE,0
C00312,18-08-2023,P00312,20692.64,Home Damage,FALSE,0
C00313,31-12-2023,P00313,9013.76,Medical,FALSE,0
C00314,20-02-2023,P00314,12533.22,Vehicle,FALSE,1
C00315,21-09-2023,P00315,24655.88,Home Damage,FALSE,0
C00316,10-10-2023,P00316,18882.88,Home Damage,FALSE,1
C00317,27-01-2023,P00317,13081,Vehicle,FALSE,0
C00318,14-08-2023,P00318,10080.03,Vehicle,FALSE,0
C00319,04-10-2023,P00319,17905.31,Home Damage,FALSE,0
C00320,13-10-2023,P00320,6273.9,Medical,FALSE,0
C00321,07-04-2023,P00321,24126.19,Home Damage,FALSE,0
C00322,11-10-2023,P00322,23660.76,Home Damage,FALSE,0
C00323,13-11-2023,P00323,16671.16,Home Damage,FALSE,0
C00324,31-10-2023,P00324,19342.21,Home Damage,FALSE,0
C00325,27-05-2023,P00325,7458.88,Vehicle,FALSE,0
C00326,04-01-2023,P00326,12721.92,Medical,FALSE,0
C00327,04-02-2023,P00327,12568.49,Vehicle,FALSE,0
C00328,11-07-2023,P00328,9434.3,Vehicle,FALSE,0
C00329,18-02-2023,P00329,11588.68,Vehicle,FALSE,0
C00330,17-01-2023,P00330,8075.71,Vehicle,FALSE,0
C00331,21-06-2023,P00331,27047.9,Home Damage,FALSE,0
C00332,08-08-2023,P00332,18102.02,Vehicle,FALSE,0
C00333,07-06-2023,P00333,7913.31,Vehicle,FALSE,0
C00334,15-02-2023,P00334,14428.13,Vehicle,FALSE,0
C00335,06-01-2023,P00335,10726.19,Vehicle,FALSE,0
C00336,09-04-2023,P00336,15367.84,Vehicle,FALSE,0
C00337,21-08-2023,P00337,7639.9,Medical,FALSE,0
C00338,06-02-2023,P00338,12459.3,Vehicle,TRUE,1
C00339,07-10-2023,P00339,16078.45,Vehicle,FALSE,0
C00340,15-12-2023,P00340,26227.82,Home Damage,FALSE,0
C00341,29-10-2023,P00341,12695.52,Vehicle,FALSE,1
C00342,30-06-2023,P00342,14271.44,Vehicle,FALSE,0
C00343,05-04-2023,P00343,15860.53,Vehicle,FALSE,0
C00344,09-04-2023,P00344,7892.29,Vehicle,FALSE,0
C00345,07-07-2023,P00345,7721.81,Vehicle,FALSE,0
C00346,26-04-2023,P00346,18923.82,Home Damage,FALSE,1
C00347,10-07-2023,P00347,21550.23,Home Damage,FALSE,0
C00348,10-09-2023,P00348,11316.26,Vehicle,TRUE,0
C00349,10-06-2023,P00349,15559.31,Home Damage,TRUE,0
C00350,13-09-2023,P00350,22560.95,Home Damage,FALSE,0
C00351,19-11-2023,P00351,11181.58,Vehicle,FALSE,0
C00352,08-05-2023,P00352,11443.35,Medical,TRUE,0
C00353,18-01-2023,P00353,13334.52,Vehicle,FALSE,0
C00354,08-10-2023,P00354,12025.67,Vehicle,FALSE,0
C00355,11-08-2023,P00355,15108.39,Home Damage,TRUE,0
C00356,23-02-2023,P00356,13864.28,Vehicle,FALSE,0
C00357,27-02-2023,P00357,12288.41,Home Damage,FALSE,0
C00358,19-11-2023,P00358,16005.67,Vehicle,FALSE,0
C00359,26-12-2023,P00359,13385.06,Vehicle,FALSE,0
C00360,23-06-2023,P00360,24209.89,Home Damage,TRUE,1
C00361,07-10-2023,P00361,17820.01,Home Damage,FALSE,0
C00362,24-04-2023,P00362,8740.97,Vehicle,TRUE,1
C00363,15-10-2023,P00363,4166.32,Medical,FALSE,0
C00364,08-12-2023,P00364,9467.1,Vehicle,FALSE,0
C00365,31-05-2023,P00365,6485.76,Medical,FALSE,0
C00366,07-05-2023,P00366,13536.19,Vehicle,TRUE,0
C00367,04-06-2023,P00367,10247.44,Vehicle,FALSE,0
C00368,30-09-2023,P00368,12296.3,Vehicle,FALSE,0
C00369,14-04-2023,P00369,11487.83,Vehicle,FALSE,1
C00370,26-10-2023,P00370,16965.76,Vehicle,FALSE,0
C00371,03-09-2023,P00371,15773.59,Vehicle,FALSE,0
C00372,25-06-2023,P00372,19450.56,Home Damage,FALSE,0
C00373,08-02-2023,P00373,10543.89,Vehicle,FALSE,1
C00374,19-06-2023,P00374,13822.21,Vehicle,TRUE,0
C00375,04-09-2023,P00375,6027.39,Medical,TRUE,1
C00376,26-01-2023,P00376,17539.74,Vehicle,FALSE,0
C00377,21-12-2023,P00377,8627.09,Medical,FALSE,0
C00378,02-11-2023,P00378,16283.1,Home Damage,FALSE,0
C00379,13-01-2023,P00379,19358.08,Home Damage,FALSE,0
C00380,12-11-2023,P00380,13971.7,Vehicle,FALSE,0
C00381,09-11-2023,P00381,12086.54,Vehicle,FALSE,0
C00382,05-02-2023,P00382,16740.4,Vehicle,FALSE,0
C00383,22-06-2023,P00383,11534.4,Medical,TRUE,1
C00384,20-01-2023,P00384,9989.99,Vehicle,FALSE,0
C00385,17-11-2023,P00385,8442.58,Vehicle,FALSE,0
C00386,21-09-2023,P00386,13728.91,Vehicle,FALSE,0
C00387,22-05-2023,P00387,15003.64,Vehicle,FALSE,0
C00388,23-05-2023,P00388,24946.42,Home Damage,TRUE,1
C00389,02-04-2023,P00389,15262.72,Vehicle,FALSE,0
C00390,20-12-2023,P00390,23678.35,Home Damage,FALSE,0
C00391,18-11-2023,P00391,6909.68,Medical,FALSE,0
C00392,15-10-2023,P00392,12515.72,Vehicle,FALSE,0
C00393,03-08-2023,P00393,17405.94,Vehicle,FALSE,0
C00394,08-12-2023,P00394,23508.9,Home Damage,FALSE,0
C00395,20-02-2023,P00395,9774.35,Medical,FALSE,0
C00396,02-06-2023,P00396,9938.42,Vehicle,FALSE,0
C00397,05-07-2023,P00397,8660.05,Medical,FALSE,0
C00398,04-03-2023,P00398,14885.86,Vehicle,FALSE,0
C00399,09-07-2023,P00399,10495.08,Vehicle,FALSE,1
C00400,05-05-2023,P00400,8274.42,Vehicle,FALSE,0
C00401,30-05-2023,P00401,26379.7,Home Damage,FALSE,0
C00402,10-11-2023,P00402,7946.96,Medical,FALSE,1
C00403,27-02-2023,P00403,13500.41,Home Damage,FALSE,0
C00404,08-12-2023,P00404,15590.1,Vehicle,FALSE,0
C00405,01-11-2023,P00405,9735.65,Vehicle,FALSE,0
C00406,29-06-2023,P00406,4257.87,Medical,TRUE,1
C00407,19-06-2023,P00407,13667.67,Vehicle,FALSE,0
C00408,22-11-2023,P00408,25002.88,Home Damage,FALSE,0
C00409,28-09-2023,P00409,16216.49,Vehicle,FALSE,0
C00410,23-02-2023,P00410,16805.46,Vehicle,FALSE,0
C00411,11-04-2023,P00411,7082.91,Medical,FALSE,1
C00412,21-09-2023,P00412,12753.95,Vehicle,FALSE,0
C00413,22-02-2023,P00413,9292.02,Vehicle,FALSE,0
C00414,01-03-2023,P00414,6887.7,Medical,FALSE,0
C00415,18-04-2023,P00415,11836.65,Vehicle,FALSE,0
C00416,05-01-2023,P00416,8439.46,Medical,FALSE,0
C00417,13-04-2023,P00417,13879.03,Vehicle,FALSE,0
C00418,15-07-2023,P00418,8784.52,Vehicle,TRUE,1
C00419,19-09-2023,P00419,13263.81,Vehicle,FALSE,0
C00420,31-12-2023,P00420,11760.86,Vehicle,FALSE,0
C00421,16-12-2023,P00421,21123.86,Home Damage,FALSE,0
C00422,16-02-2023,P00422,6783.65,Medical,TRUE,1
C00423,21-12-2023,P00423,5767.96,Medical,FALSE,0
C00424,07-11-2023,P00424,16646.7,Vehicle,TRUE,0
C00425,04-11-2023,P00425,9669.84,Vehicle,FALSE,0
C00426,24-05-2023,P00426,15453.57,Vehicle,FALSE,0
